cnpj,uf,municipio,razao_social,nome_fantasia,porte,cnae_fiscal_descricao,data_inicio_atividade
52378239000101,SP,GUARULHOS,COOPERATIVA MISTA DE TRANSPORTE DOS MOTORISTAS AUTONOMOS DE TAXIS DO MUNICIPIO DE GUARULHOS,GUARUCOOP,DEMAIS,Serviço de táxi,1985-10-10
4282640000192,PE,GARANHUNS,HOTEIS E TURISMO DO NORDESTE EIRELI,,EMPRESA DE PEQUENO PORTE,Hotéis,2001-02-13
24147290000169,PE,GARANHUNS,IRACEMA LOURENCO SANTOS RODRIGUES,RODRIGUES HOTEL,MICRO EMPRESA,Hotéis,1988-12-26
5153506000235,SP,SAO PAULO,SOL INVEST - HOTEL JARAGUA LTDA.,,DEMAIS,Hotéis,2019-10-02
6011026000111,PE,MIRANDIBA,POSTO BEIRADEIRO EIRELI,POSTO BEIRADEIRO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2003-11-25
7604271000286,PE,SERRA TALHADA,RIBEIRAO COMBUSTIVEIS E LUBRIFICANTES LTDA,POSTO RIBEIRAO - FILIAL,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2008-12-10
7586717000106,PE,GARANHUNS,SOARES COMBUSTIVEIS LTDA,S 3 AUTO POSTO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2005-09-14
12696702000130,PE,OURICURI,POUSADA ALVES & ARAUJO LTDA,HOTEL PLAZA,MICRO EMPRESA,Outros alojamentos não especificados anteriormente,2010-10-08
19242294000196,PE,PETROLANDIA,POUSADA ATENIZE LTDA,POUSADA ATENIZE,MICRO EMPRESA,Hotéis,2013-11-12
15663412000189,BA,SALVADOR,COOP METROPOLITANA DE TAXIS ESPECIAIS DO SALV RESP LTDA,COOMETAS,DEMAIS,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1980-08-06
9389047000163,PE,BOM CONSELHO,EDILENE OLIVEIRA FERRO,HOTEL RAIZES,MICRO EMPRESA,Hotéis,2008-02-22
8533147000159,PE,RECIFE,FLORIDA ALIMENTOS EIRELI,SPETTUS BOA VIAGEM,DEMAIS,Restaurantes e similares,2006-11-07
6084605000194,PE,VITORIA DE SANTO ANTAO,POSTO DO OLEO LTDA,POSTO DO GAS,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2004-02-02
19280646000289,PE,RECIFE,RECIFE ALIMENTOS E EVENTOS LTDA,MASCAVO ROOFTOP,DEMAIS,Restaurantes e similares,2019-08-09
42423209000108,SP,SAO PAULO,RESTAURANTE E PIZZARIA DO MARIO EIRELI,RESTAURANTE E PIZZARIA DO MARIO,MICRO EMPRESA,Restaurantes e similares,2021-06-22
604538000105,DF,BRASILIA,RESTAURANTE E BAR XIQUE XIQUE LTDA,XIQUE XIQUE,DEMAIS,Restaurantes e similares,1980-10-06
76535764032509,TO,PALMAS,OI S.A. - EM RECUPERACAO JUDICIAL,OI,DEMAIS,Serviços de telefonia fixa comutada - STFC,2000-03-22
38128880000159,TO,PALMAS,PRIME SOLUTION SOLUCOES EM IMPRESSOES LTDA,PRIME SOLUCOES EM IMPRESSAO,EMPRESA DE PEQUENO PORTE,Fotocópias,1993-04-27
16988096000188,TO,PALMAS,AUTO POSTO DISBRAVA LTDA,POSTOS DISBRAVA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2012-09-27
29203725000169,TO,PALMAS,MULTICORES PAPELARIA LTDA,MULTICORES PAPELARIA,EMPRESA DE PEQUENO PORTE,Comércio varejista de artigos de papelaria,2017-12-04
28373667000159,TO,PALMAS,DANILO AMANCIO CAVALCANTI SOCIEDADE INDIVIDUAL DE ADVOCACIA,DAC ADVOCACIA E CONSULTORIA,DEMAIS,Serviços advocatícios,2017-07-05
5792313000143,TO,PALMAS,TECNICA COMUNICACAO VISUAL EIRELI,TECMIDIA COMUNICACAO VISUAL,MICRO EMPRESA,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,2003-08-01
34309267000187,TO,PALMAS,COMERCIAL DE COMBUSTIVEIS CASA TUA EIRELI,POSTO CASA TUA,EMPRESA DE PEQUENO PORTE,Comércio varejista de combustíveis para veículos automotores,2019-07-24
97486534000292,TO,PALMAS,MCM-COM DE DERIVADOS DE PETROLEO LTDA,POSTO PRIMAVERA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,2011-08-02
11663980000129,TO,PALMAS,SERGIO DO VALE ADVOGADOS ASSOCIADOS,SERGIO RODRIGO DO VALE ADVOGADOS ASSOCIADOS,DEMAIS,Serviços advocatícios,2009-04-23
2397343000167,TO,PALMAS,QUARTETTO SUPERMERCADOS LTDA,QUARTETTO SUPERMERCADOS,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",1998-01-06
25197585000102,DF,BRASILIA,TRUPE PUBLICIDADE LTDA,,MICRO EMPRESA,"Atividades de produção de fotografias, exceto aérea e submarina",2016-07-13
